category,item,count
mongolian,fish tofu,1
mongolian,fried chicken wings,1
mongolian,fried dumplings,1
mongolian,fried mini buns,1
mongolian,fried rice,1
mongolian,griddle cooked chicken broth,1
mongolian,grilled bun,1
mongolian,grilled fish,1
mongolian,herbal tea,1
hotpot,beef aorta,1
hotpot,beef backstraps,1
hotpot,beef noodle soup,1
hotpot,black iced tea,1
hotpot,cauliflower,1
hotpot,chicken wings,1
hotpot,chongqing spicy noodles,1
hotpot,coconut milk,1
hotpot,cold noodles,1
hotpot,cold ribbon noodle salad,1
hotpot,cucumber salad,1
hotpot,fish tofu,1
hotpot,fried chicken wings,1
hotpot,fried dumplings,1
hotpot,fried mini buns,1
hotpot,fried rice,1
hotpot,griddle cooked chicken broth,1
hotpot,grilled bun,1
hotpot,grilled fish,1
hotpot,herbal tea,1
indpak,canned soda,2
indpak,ground turkey rice and beans,2
indpak,piece roasted chicken  dark,2
indpak,roasted chicken  white,2
indpak,turkey bolognese,2
indpak,balsamic chicken dinner,1
indpak,balsamic chicken lunch special,1
indpak,beef roll,1
indpak,beer battered shrimp,1
indpak,black beans and rice,1
indpak,bottle of water,1
indpak,caesar dinner salad,1
indpak,caesar side salad,1
indpak,cajun catfish dinner,1
indpak,cajun catfish lunch special,1
indpak,cajun shrimp dinner,1
indpak,cajun shrimp lunch special,1
indpak,catfish fillets,1
indpak,chatpat gobi roll cauliflower,1
indpak,chef lucianos ginger beer,1
italian,chicken parmesan,6
italian,caesar salad,4
italian,double dough pizza  inch,4
italian,house salad,4
italian,italian sausage,4
italian,thin crust pizza  inch,4
italian,antipasto salad,3
italian,buffalo chicken,3
italian,cheeseburger,3
italian,cheesy garlic bread,3
italian,chicken marsala,3
italian,eggplant,3
italian,fried calamari,3
italian,homemade ravioli,3
italian,italian beef sandwich,3
italian,italian sausage sandwich,3
italian,minestrone soup,3
italian,onion rings,3
italian,sausage and peppers,3
italian,tiramisu,3
cajun,basil pesto spaghetti,2
cajun,canned soda,2
cajun,french fries,2
cajun,ground turkey rice and beans,2
cajun,gumbo,2
cajun,lb head on shrimp,2
cajun,lb live crawfish,2
cajun,lb snow crab,2
cajun,piece roasted chicken  dark,2
cajun,roasted chicken  white,2
cajun,turkey bolognese,2
cajun,additional sauce,1
cajun,balsamic chicken dinner,1
cajun,balsamic chicken lunch special,1
cajun,beer battered shrimp,1
cajun,big set a,1
cajun,big set b,1
cajun,big set c,1
cajun,black beans and rice,1
cajun,black milk tea,1
asianfusion,crab rangoon,5
asianfusion,bbq pork fried rice,4
asianfusion,combination fried rice,4
asianfusion,sake,4
asianfusion,spicy tuna roll,4
asianfusion,vegetable fried rice,4
asianfusion,volcano roll,4
asianfusion,beef fried rice,3
asianfusion,chicken fried rice,3
asianfusion,dragon roll,3
asianfusion,miso soup,3
asianfusion,mongolian beef,3
asianfusion,orange chicken,3
asianfusion,sesame chicken,3
asianfusion,shrimp fried rice,3
asianfusion,shrimp tempura roll,3
asianfusion,spider roll,3
asianfusion,unagi,3
asianfusion,baochickawow,2
asianfusion,beef sticks,2
pizza,caesar salad,6
pizza,red king crab,6
pizza,chicken parmesan,5
pizza,snow crab cocktail claws,5
pizza,bairdi snow crab,4
pizza,double dough pizza  inch,4
pizza,house salad,4
pizza,italian sausage,4
pizza,italian sausage sandwich,4
pizza,jalapeno poppers,4
pizza,thin crust pizza  inch,4
pizza,bottled water,3
pizza,buffalo chicken,3
pizza,cheeseburger,3
pizza,cheesy garlic bread,3
pizza,eggplant,3
pizza,garlic bread,3
pizza,italian beef sandwich,3
pizza,meatball sandwich,3
pizza,minestrone soup,3
sandwiches,pc chicken wings,10
sandwiches,pc chicken tenders,8
sandwiches,buffalo chicken tenders with fries,2
sandwiches,cajun chicken on ciabatta bread,2
sandwiches,cheese fries,2
sandwiches,chicken wings and  pizza puff,2
sandwiches,corned beef sub,2
sandwiches,el salvador,2
sandwiches,fresh cut fries,2
sandwiches,garlic bread,2
sandwiches,grilled cheese sandwich,2
sandwiches,italian sub,2
sandwiches,lb shrimp,2
sandwiches,mozzarella sticks,2
sandwiches,pc chicken nuggets,2
sandwiches,pizza puff,2
sandwiches,roast beef sub,2
sandwiches,soda  oz,2
sandwiches,the billy boy sandwich,2
sandwiches,turkey burger,2
chicken_wings,piece chicken,7
chicken_wings,wings,7
chicken_wings,wingstop crispy tenders,5
chicken_wings,piece dinner,3
chicken_wings,piece tenders dinner,3
chicken_wings,seasoned fries,3
chicken_wings,coleslaw,2
chicken_wings,fried chicken combo,2
chicken_wings,fried chicken strips,2
chicken_wings,fried chicken wings,2
chicken_wings,house fried rice,2
chicken_wings,onion rings,2
chicken_wings,pc pack feeds,2
chicken_wings,pc wingstop crispy tender pack feeds,2
chicken_wings,add  mango habanero boneless wings,1
chicken_wings,bibimbap,1
chicken_wings,biscuit,1
chicken_wings,bonchon wrap,1
chicken_wings,boneless wing lunch,1
chicken_wings,bottled water,1
salad,,41
salad,corned beef hash,2
salad,french fries,2
salad,fried chicken combo,2
salad,fried chicken strips,2
salad,fried chicken wings,2
salad,house fried rice,2
salad,seasoned fries,2
salad,ahi tuna blt,1
salad,ahi tuna poke,1
salad,all turf can surf,1
salad,ancient grains hot cereal,1
salad,arugula salad,1
salad,au poivre sauce,1
salad,baby iceberg wedge,1
salad,baked potato,1
salad,balsamic roasted beet,1
salad,basket,1
salad,berkshire pork porterhouse,1
salad,bibimbap,1
ramen,toppings,3
ramen,ajitsuke tamago,1
ramen,beef tongue,1
ramen,chicken and turkey bone broth,1
ramen,coppa  chocolates,1
ramen,da bomb rice bowl,1
ramen,duck chazuke,1
ramen,edamame,1
ramen,japanese cider,1
ramen,kamo,1
ramen,kamo yakisoba duck breast,1
ramen,kuro buta belly,1
ramen,kuro buta sausage chazuke,1
ramen,kuro buta sausage yakisoba,1
ramen,kuro buta yakisoba pork,1
ramen,kuro buto loin,1
ramen,meat lover rice bowl,1
ramen,minced pork and clam rice bowl,1
ramen,oden,1
ramen,oshinko moriawase,1
british,bangers and mash,1
british,bubble cake,1
british,chicken balti pie,1
british,chicken salad,1
british,cold pork pie,1
british,coriander chutney sauce,1
british,curry chips,1
british,curry sauce,1
british,deluxe gravy chips,1
british,grapefruit juice,1
british,gravy sauce,1
british,hand cut chips,1
british,kombuchade,1
british,large drip coffee,1
british,mash,1
british,mushroom and kale pie,1
british,orange juice,1
british,peas,1
british,pickled egg,1
british,pleasant farms salad,1
pubs,anchors away fish fry,1
pubs,bacon wrapped potatoes,1
pubs,bangers and mash,1
pubs,blackened tuna sandwich,1
pubs,boneless tenders,1
pubs,breakfast poutine,1
pubs,bubble cake,1
pubs,buffalo chicken wrap,1
pubs,build your own burger,1
pubs,build your own pizza,1
pubs,caesar salad,1
pubs,california dreaming pizza,1
pubs,chicago philly sandwich,1
pubs,chicken balti pie,1
pubs,chicken risotto soup,1
pubs,chicken salad,1
pubs,chicken wings,1
pubs,chili,1
pubs,cold pork pie,1
pubs,coriander chutney sauce,1
breakfast_brunch,,41
breakfast_brunch,avocado fries,2
breakfast_brunch,caesar salad,2
breakfast_brunch,canadian bacon,2
breakfast_brunch,cauliflower salad,2
breakfast_brunch,corned beef hash,2
breakfast_brunch,french toast,2
breakfast_brunch,grilled chicken sandwich,2
breakfast_brunch,ground beef empanadas,2
breakfast_brunch,kale salad,2
breakfast_brunch,pancakes,2
breakfast_brunch,pork sausage,2
breakfast_brunch,pulled pork nachos,2
breakfast_brunch,soda,2
breakfast_brunch,ahi tuna blt,1
breakfast_brunch,ahi tuna poke,1
breakfast_brunch,albondigas,1
breakfast_brunch,anchors away fish fry,1
breakfast_brunch,ancient grains hot cereal,1
breakfast_brunch,arabian night dinner,1
vietnamese,a sampler,2
vietnamese,beef short ribs,2
vietnamese,crab rangoon,2
vietnamese,d pad thai,2
vietnamese,e panang curry,2
vietnamese,grilled lemongrass pork and egg roll bowl,2
vietnamese,mango sticky rice,2
vietnamese,pho beef noodle soup for the beginners,2
vietnamese,pot stickers,2
vietnamese,the adventurers choice of pho beef noodle soup,2
vietnamese,v bbq pork banh mi,2
vietnamese,a chicken satay,1
vietnamese,a fried tofu,1
vietnamese,a golden crab,1
vietnamese,a shrimp in the blanket,1
vietnamese,a shumai,1
vietnamese,avocado milkshake,1
vietnamese,avocado smoothie,1
vietnamese,b miso soup,1
vietnamese,b tofu soup,1
delis,buffalo chicken tenders with fries,2
delis,cajun chicken on ciabatta bread,2
delis,garden salad,2
delis,garlic bread,2
delis,grilled cheese sandwich,2
delis,italian salad,2
delis,italian sub,2
delis,lb shrimp,2
delis,mozzarella sticks,2
delis,the billy boy sandwich,2
delis,american sub,1
delis,antipasta salad,1
delis,antipasto platter,1
delis,antipasto salad,1
delis,arancini riceball,1
delis,baked clams  doz,1
delis,barbecue sauce,1
delis,battered onion rings,1
delis,beef vegetable soup,1
delis,boxed lunches,1
grocery,boxed lunches,1
grocery,caesar salad,1
grocery,chicken salad,1
grocery,chicken sandwich,1
grocery,garden salad,1
grocery,greek salad,1
grocery,hot dog,1
grocery,meat  cheese platters,1
grocery,pumpernickel,1
grocery,rye bread,1
grocery,sandwich platters,1
grocery,specialty salad,1
grocery,tuna salad,1
grocery,tuna sandwich,1
grocery,veggie sandwich,1
grocery,wheat bread,1
grocery,wheat roll,1
grocery,white roll,1
grocery,wrap,1
taiwanese,braised chicken leg rice box,2
taiwanese,braised pork belly rice box,2
taiwanese,braised pork over rice,2
taiwanese,chinese style fried rice,2
taiwanese,crispy bbq pork rice box,2
taiwanese,crispy spiced chicken with chili sauce rice box,2
taiwanese,d black tea with milk,2
taiwanese,d honey tea,2
taiwanese,d lemon tea,2
taiwanese,d longan tea,2
taiwanese,d passion fruit tea,2
taiwanese,d peach tea,2
taiwanese,deep fried squid tentacles,2
taiwanese,fried rice,2
taiwanese,general tsos chicken,2
taiwanese,golden crab rangoon,2
taiwanese,japanese curry fried rice,2
taiwanese,piece homemade potstickers,2
taiwanese,popcorn chicken,2
taiwanese,scallion pancake,2
shavedice,braised chicken leg rice box,2
shavedice,braised pork belly rice box,2
shavedice,braised pork over rice,2
shavedice,crispy bbq pork rice box,2
shavedice,crispy spiced chicken with chili sauce rice box,2
shavedice,piece homemade potstickers,2
shavedice,popcorn chicken,2
shavedice,spicy beef and tendon noodle soup,2
shavedice,spicy beef noodle soup,2
shavedice,squid in thick broth,2
shavedice,taipei milk tea,2
shavedice,ba wan,1
shavedice,basil chicken,1
shavedice,basil fried squid with basil,1
shavedice,basil king mushroom,1
shavedice,basil tofu,1
shavedice,berries and lime fruit tea,1
shavedice,black forest latte,1
shavedice,black forest mousse,1
shavedice,black tea latte,1
panasian,beef cubes with tomato sauce rice,2
panasian,crab rangoon,2
panasian,fried rice,2
panasian,lo mein,2
panasian,milk tea,2
panasian,orange chicken,2
panasian,pad thai noodles,2
panasian,sesame chicken,2
panasian,vietnamese fried pork egg rolls,2
panasian,vietnamese spring rolls,2
panasian,a japanese beef dumplings,1
panasian,almond black milk tea,1
panasian,almond green milk tea,1
panasian,avocado fresh fruit freeze,1
panasian,avocado green milk tea,1
panasian,avocado mini pearl freeze with fresh fruit topping,1
panasian,b chicken  pork dumplings,1
panasian,banana berry freeze,1
panasian,banana coconut green tapioca freeze,1
panasian,banana fresh fruit freeze,1
burgers,,41
burgers,butterburger,4
burgers,cheese,4
burgers,wings,4
burgers,wings combo,4
burgers,cheese fries,3
burgers,cheeseburger,3
burgers,double cheeseburger,3
burgers,grilled chicken sandwich,3
burgers,mozzarella sticks,3
burgers,onion rings,3
burgers,applesauce,2
burgers,bacon deluxe,2
burgers,bottled water,2
burgers,breaded mushrooms,2
burgers,buffalo chicken tenders with fries,2
burgers,cajun chicken on ciabatta bread,2
burgers,corned beef hash,2
burgers,crinkle cut fries,2
burgers,deluxe,2
mexican,avocado,6
mexican,flautas,6
mexican,guacamole,6
mexican,beans,5
mexican,beef stew,5
mexican,pork stew,5
mexican,skirt steak,5
mexican,al pastor,4
mexican,chicken,4
mexican,ground beef,4
mexican,horchata,4
mexican,mexican sausage,4
mexican,quesadillas,4
mexican,queso fundido,4
mexican,stuffed peppers,4
mexican,taco salad,4
mexican,tamales,4
mexican,avocado taco,3
mexican,bistec a la mexicana,3
mexican,burrito dinner,3
tapasmallplates,aceitunas aliñadas,1
tapasmallplates,alcachofas marinada,1
tapasmallplates,banana foster,1
tapasmallplates,berenjena con setas,1
tapasmallplates,cabrales,1
tapasmallplates,calamares a la plancha,1
tapasmallplates,calamares en su tinta,1
tapasmallplates,caldero madrileño,1
tapasmallplates,cazuelita de chocolate,1
tapasmallplates,cazuelita de pollo,1
tapasmallplates,champiñones rellenos,1
tapasmallplates,chicken feet,1
tapasmallplates,chicken gizzards,1
tapasmallplates,chicken leg,1
tapasmallplates,chocolate heaven,1
tapasmallplates,chorizo y morcilla,1
tapasmallplates,coconut milk,1
tapasmallplates,cordero al pastor,1
tapasmallplates,crema con chocolate,1
tapasmallplates,crepe rellena,1
juicebars,egg roll,3
juicebars,mongolian beef,3
juicebars,bbq pork,2
juicebars,beef fried rice,2
juicebars,beef stew noodle,2
juicebars,beef with broccoli,2
juicebars,beef with peapods,2
juicebars,c orange chicken,2
juicebars,egg drop soup,2
juicebars,lettuce wrap with minced chicken,2
juicebars,pot stickers,2
juicebars,shrimp,2
juicebars,shrimp fried rice,2
juicebars,soda  oz,2
juicebars,stewed mushroom with chicken,2
juicebars,sweet and sour chicken,2
juicebars,wonton soup,2
juicebars,abc s juice,1
juicebars,almond cookies,1
juicebars,assorted meat congee,1
thai,crab rangoon,4
thai,pad thai,4
thai,a crab rangoon,2
thai,a pot stickers,2
thai,c orange chicken,2
thai,c sesame chicken,2
thai,curry fried rice,2
thai,egg rolls,2
thai,f chicken fried rice,2
thai,f shrimp fried rice,2
thai,gaeng keow waan curry,2
thai,gaeng panang curry,2
thai,kuay tiew kee mao,2
thai,pad see ewe,2
thai,pad seeiew,2
thai,peanut sauce lover,2
thai,pot stickers,2
thai,ramen,2
thai,thai iced coffee,2
thai,thai iced tea,2
senegalese,attieke,1
senegalese,baobab,1
senegalese,bissap sorrel,1
senegalese,bottled water,1
senegalese,brochette chicken,1
senegalese,caramel cake,1
senegalese,coconut beverage,1
senegalese,couscous,1
senegalese,dibi chicken  pcs,1
senegalese,dibi chicken  pcs lunch special,1
senegalese,dibi lamb,1
senegalese,fataya,1
senegalese,french fries,1
senegalese,fried plantain,1
senegalese,ginger,1
senegalese,grilled fish,1
senegalese,honeydew and pineapple,1
senegalese,house thiebaut ga naar,1
senegalese,house thiebaut jun,1
senegalese,jollof rice,1
spanish,aceitunas aliñadas,1
spanish,alcachofas marinada,1
spanish,banana foster,1
spanish,berenjena con setas,1
spanish,cabrales,1
spanish,calamares a la plancha,1
spanish,calamares en su tinta,1
spanish,caldero madrileño,1
spanish,cazuelita de chocolate,1
spanish,cazuelita de pollo,1
spanish,champiñones rellenos,1
spanish,chocolate heaven,1
spanish,chorizo y morcilla,1
spanish,cordero al pastor,1
spanish,crema con chocolate,1
spanish,crepe rellena,1
spanish,croquetas de jamon y pollo,1
spanish,dátiles con tocino,1
spanish,empanada de buey,1
spanish,ensalada temporada,1
venues,large italian beef and giardinara pizza,2
venues,large italian meat loverz pizza,2
venues,large margherita pizza,2
venues,large special pizza,2
venues,large super pizza,2
venues,large veggie pizza,2
venues,aceitunas aliñadas,1
venues,alcachofas marinada,1
venues,antipasto salad,1
venues,banana foster,1
venues,bbq chicken pizzarella,1
venues,berenjena con setas,1
venues,bottle water,1
venues,bruschetta roma,1
venues,build your own burger,1
venues,cabrales,1
venues,caesar salad,1
venues,calamares a la plancha,1
venues,calamares en su tinta,1
venues,calamari fritti,1
bars,,15
bars,avocado fries,2
bars,caesar salad,2
bars,cauliflower salad,2
bars,chicken parmesan,2
bars,fried calamari,2
bars,ground beef empanadas,2
bars,homemade ravioli,2
bars,house salad,2
bars,japanese uni cheesecake,2
bars,minestrone soup,2
bars,pulled pork nachos,2
bars,acadia burger,1
bars,add an extra serving of polish or pork to anything,1
bars,agua fresca,1
bars,andis combo sandwich,1
bars,ann maries tortellini,1
bars,annettes peanut butter cookie,1
bars,annettes tomato bread,1
bars,antipasto salad,1
tacos,agua fresca,1
tacos,antique taco salad,1
tacos,bottled drinks,1
tacos,catering  tacos,1
tacos,catering antique taco salad kale,1
tacos,catering chips and guacamole,1
tacos,catering chips and salsa,1
tacos,catering habanero hot sauce,1
tacos,catering just chips,1
tacos,catering roasted salsa,1
tacos,cheesy quesadillas,1
tacos,chips,1
tacos,chorizo chili does not include chips,1
tacos,creamed elote does not include chips,1
tacos,crispy fish taco,1
tacos,fried chicken burrito,1
tacos,garlic shrimp taco,1
tacos,grilled steak taco,1
tacos,guac does not include chips,1
tacos,horchata coffee,1
icecream,butterburger,4
icecream,cheese,3
icecream,bacon deluxe,2
icecream,crinkle cut fries,2
icecream,deluxe,2
icecream,garden fresco,2
icecream,malts,2
icecream,pc chicken tenders,2
icecream,shakes,2
icecream,single butterburger,2
icecream,the culvers,2
icecream,the original,2
icecream,the single culvers,2
icecream,almonds,1
icecream,applesauce,1
icecream,banana split,1
icecream,bananas,1
icecream,beef pot roast,1
icecream,beef pot roast sandwich,1
icecream,blackberries,1
hotdogs,piece chicken,7
hotdogs,butterburger,4
hotdogs,cheese,3
hotdogs,onion rings,3
hotdogs,piece dinner,3
hotdogs,piece tenders dinner,3
hotdogs,applesauce,2
hotdogs,bacon deluxe,2
hotdogs,bottled water,2
hotdogs,coleslaw,2
hotdogs,crinkle cut fries,2
hotdogs,deluxe,2
hotdogs,garden fresco,2
hotdogs,malts,2
hotdogs,pc chicken tenders,2
hotdogs,shakes,2
hotdogs,single butterburger,2
hotdogs,soft drink,2
hotdogs,the culvers,2
hotdogs,the original,2
theater,,1
theater,big bill thompson,1
theater,big caesarserves,1
theater,big jim colosimo,1
theater,black jacksserves,1
theater,da appetizers,1
theater,da hooch alcohol,1
theater,dinners include,1
theater,dont call me chicken,1
theater,double black jacksserves,1
theater,frankies feast,1
theater,little caesarserves,1
theater,little tramp shrimpserves,1
theater,martini list,1
theater,specialty drink list,1
theater,the kingpin,1
theater,wine list,1
tradamerican,,16
tradamerican,broiled chicken breast,3
tradamerican,greek salad,3
tradamerican,quesadilla,3
tradamerican,bacon,2
tradamerican,belly buster omelet,2
tradamerican,biscuits and gravy,2
tradamerican,blt sandwich,2
tradamerican,caesar salad,2
tradamerican,cheese fries,2
tradamerican,chicken tenders,2
tradamerican,chili,2
tradamerican,chili mac,2
tradamerican,coffee,2
tradamerican,curds,2
tradamerican,eggs,2
tradamerican,french fries,2
tradamerican,fried pickles,2
tradamerican,fried shrimp,2
tradamerican,garlic bread,2
comedyclubs,,1
comedyclubs,big bill thompson,1
comedyclubs,big caesarserves,1
comedyclubs,big jim colosimo,1
comedyclubs,black jacksserves,1
comedyclubs,da appetizers,1
comedyclubs,da hooch alcohol,1
comedyclubs,dinners include,1
comedyclubs,dont call me chicken,1
comedyclubs,double black jacksserves,1
comedyclubs,frankies feast,1
comedyclubs,little caesarserves,1
comedyclubs,little tramp shrimpserves,1
comedyclubs,martini list,1
comedyclubs,specialty drink list,1
comedyclubs,the kingpin,1
comedyclubs,wine list,1
desserts,all turf can surf,1
desserts,arugula salad,1
desserts,au poivre sauce,1
desserts,baby iceberg wedge,1
desserts,baked potato,1
desserts,berkshire pork porterhouse,1
desserts,bordelaise sauce,1
desserts,braised short rib,1
desserts,brick amish chicken,1
desserts,brussels sprouts,1
desserts,béarnaise sauce,1
desserts,caesar,1
desserts,cfh burger,1
desserts,cfh filet flight,1
desserts,chateaubriand for two,1
desserts,chilled oysters on the half shell,1
desserts,classic jumbo shrimp cocktail,1
desserts,crab cakes,1
desserts,crab oscar,1
desserts,creamed spinach,1
newamerican,french toast,3
newamerican,avocado fries,2
newamerican,bacon  sausage  pancakes  eggs,2
newamerican,bacon or sausage,2
newamerican,caesar salad,2
newamerican,cauliflower salad,2
newamerican,chicken caesar salad,2
newamerican,egg sandwich,2
newamerican,fish sandwich,2
newamerican,french fries,2
newamerican,grilled chicken breast,2
newamerican,grilled chicken sandwich,2
newamerican,ground beef empanadas,2
newamerican,hot chocolate,2
newamerican,italian beef,2
newamerican,italian sausage,2
newamerican,japanese uni cheesecake,2
newamerican,milk,2
newamerican,pancakes,2
newamerican,pulled pork nachos,2
polish,add an extra serving of polish or pork to anything,1
polish,banchan plate,1
polish,bi bim noods,1
polish,bing bong bowl,1
polish,dressed fries,1
polish,kimski poutine,1
polish,kopo beef,1
polish,kopo wangs,1
polish,marias standard,1
polish,mizeria chap chae,1
polish,pork belly bowl,1
polish,princess pierogis,1
polish,sausage plate,1
polish,scallion potato pancakes,1
sportsbars,all american,1
sportsbars,beef polish,1
sportsbars,bottled water,1
sportsbars,bruschetta,1
sportsbars,buffalo wings,1
sportsbars,chicago style hot dog,1
sportsbars,chili,1
sportsbars,chili cheese dog,1
sportsbars,chips,1
sportsbars,club soda,1
sportsbars,diet rite,1
sportsbars,dr pepper,1
sportsbars,garlic bread,1
sportsbars,ginger ale,1
sportsbars,goose island root beer bottle,1
sportsbars,hot giardeniara,1
sportsbars,hot tamale,1
sportsbars,italian beef  giardinera,1
sportsbars,italian poorboy,1
sportsbars,jalapeno  artichoke dip,1
steak,all turf can surf,1
steak,aloe vera natural grape king drink,1
steak,ambers fire nachos,1
steak,arugula salad,1
steak,au poivre sauce,1
steak,baby iceberg wedge,1
